# SignalP-5.0	Organism: Gram-negative	Timestamp: 20230503163127
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
megahit_93_72-2462	SP(Sec/SPI)	0.964025	0.000524	0.005879	0.029572	CS pos: 28-29. TYA-QN. Pr: 0.9535
megahit_104_1-750	OTHER	0.054733	0.011025	0.009762	0.924480	
megahit_111_3-287	OTHER	0.045792	0.027838	0.008626	0.917744	
megahit_171_3-1739	OTHER	0.036255	0.001666	0.005737	0.956342	
megahit_171_1849-2910	OTHER	0.006000	0.013586	0.001397	0.979017	
megahit_172_161-1072	OTHER	0.002987	0.000621	0.000394	0.995998	
megahit_173_9-1793	OTHER	0.036255	0.001666	0.005737	0.956342	
megahit_173_1903-2964	OTHER	0.006000	0.013586	0.001397	0.979017	
megahit_174_161-1072	OTHER	0.002987	0.000621	0.000394	0.995998	
megahit_174_1153-3087	OTHER	0.011353	0.012522	0.001681	0.974444	
megahit_174_3512-5863	OTHER	0.036255	0.001666	0.005737	0.956342	
megahit_174_5973-7034	OTHER	0.006000	0.013586	0.001397	0.979017	
megahit_175_161-1072	OTHER	0.002987	0.000621	0.000394	0.995998	
megahit_175_1153-3087	OTHER	0.011353	0.012522	0.001681	0.974444	
megahit_176_161-1072	OTHER	0.002987	0.000621	0.000394	0.995998	
megahit_193_238-594	OTHER	0.076941	0.031362	0.034577	0.857120	
megahit_193_826-1224	OTHER	0.003521	0.000261	0.003665	0.992553	
megahit_223_19-513	OTHER	0.006999	0.004511	0.001738	0.986753	
megahit_234_3-239	OTHER	0.005515	0.006378	0.001002	0.987104	
megahit_260_1292-3109	LIPO(Sec/SPII)	0.000767	0.000164	0.998585	0.000484	CS pos: 20-21. ISG-CG. Pr: 0.9995
megahit_320_1-504	SP(Sec/SPI)	0.712297	0.013141	0.241496	0.033067	CS pos: 22-23. AGA-VT. Pr: 0.4934
megahit_343_41-775	OTHER	0.020474	0.035884	0.007911	0.935731	
megahit_452_38-1027	OTHER	0.003273	0.000569	0.000355	0.995803	
megahit_453_38-1027	OTHER	0.003273	0.000569	0.000355	0.995803	
megahit_455_1037-3472	OTHER	0.004077	0.002437	0.000902	0.992585	
megahit_462_140-766	OTHER	0.001892	0.000395	0.000247	0.997466	
megahit_462_988-3519	LIPO(Sec/SPII)	0.277795	0.008229	0.411634	0.302342	CS pos: 26-27. LTS-TG. Pr: 0.2032
megahit_462_3642-5111	TAT(Tat/SPI)	0.001566	0.996987	0.000262	0.001184	CS pos: 46-47. AFG-AP. Pr: 0.6257
megahit_462_5208-6263	SP(Sec/SPI)	0.996744	0.000418	0.002073	0.000766	CS pos: 18-19. AMA-HD. Pr: 0.9763
megahit_463_839-1465	OTHER	0.002113	0.000473	0.000289	0.997125	
megahit_463_1687-4218	LIPO(Sec/SPII)	0.277795	0.008229	0.411634	0.302342	CS pos: 26-27. LTS-TG. Pr: 0.2032
megahit_463_4341-5810	TAT(Tat/SPI)	0.001566	0.996987	0.000262	0.001184	CS pos: 46-47. AFG-AP. Pr: 0.6257
megahit_464_140-766	OTHER	0.001892	0.000395	0.000247	0.997466	
megahit_464_988-3519	LIPO(Sec/SPII)	0.277795	0.008229	0.411634	0.302342	CS pos: 26-27. LTS-TG. Pr: 0.2032
megahit_464_3642-5111	TAT(Tat/SPI)	0.001566	0.996987	0.000262	0.001184	CS pos: 46-47. AFG-AP. Pr: 0.6257
megahit_465_839-1465	OTHER	0.002113	0.000473	0.000289	0.997125	
megahit_465_1687-4203	LIPO(Sec/SPII)	0.277795	0.008229	0.411634	0.302342	CS pos: 26-27. LTS-TG. Pr: 0.2032
megahit_465_4326-5795	TAT(Tat/SPI)	0.001566	0.996987	0.000262	0.001184	CS pos: 46-47. AFG-AP. Pr: 0.6257
megahit_466_839-1465	OTHER	0.002113	0.000473	0.000289	0.997125	
megahit_466_1687-4203	LIPO(Sec/SPII)	0.277795	0.008229	0.411634	0.302342	CS pos: 26-27. LTS-TG. Pr: 0.2032
megahit_466_4326-5795	TAT(Tat/SPI)	0.001566	0.996987	0.000262	0.001184	CS pos: 46-47. AFG-AP. Pr: 0.6257
megahit_466_5892-6947	SP(Sec/SPI)	0.996744	0.000418	0.002073	0.000766	CS pos: 18-19. AMA-HD. Pr: 0.9763
megahit_467_43-1512	TAT(Tat/SPI)	0.003491	0.994846	0.000341	0.001322	CS pos: 46-47. AFG-AP. Pr: 0.5868
megahit_467_1609-2664	SP(Sec/SPI)	0.996744	0.000418	0.002073	0.000766	CS pos: 18-19. AMA-HD. Pr: 0.9763
megahit_468_140-766	OTHER	0.001892	0.000395	0.000247	0.997466	
megahit_468_988-3504	LIPO(Sec/SPII)	0.277795	0.008229	0.411634	0.302342	CS pos: 26-27. LTS-TG. Pr: 0.2032
megahit_468_3627-5096	TAT(Tat/SPI)	0.001566	0.996987	0.000262	0.001184	CS pos: 46-47. AFG-AP. Pr: 0.6257
megahit_468_5193-6248	SP(Sec/SPI)	0.996744	0.000418	0.002073	0.000766	CS pos: 18-19. AMA-HD. Pr: 0.9763
megahit_469_140-766	OTHER	0.001892	0.000395	0.000247	0.997466	
megahit_469_988-3504	LIPO(Sec/SPII)	0.277795	0.008229	0.411634	0.302342	CS pos: 26-27. LTS-TG. Pr: 0.2032
megahit_469_3627-5096	TAT(Tat/SPI)	0.001566	0.996987	0.000262	0.001184	CS pos: 46-47. AFG-AP. Pr: 0.6257
megahit_470_43-1320	TAT(Tat/SPI)	0.003491	0.994846	0.000341	0.001322	CS pos: 46-47. AFG-AP. Pr: 0.5868
megahit_471_839-1465	OTHER	0.002113	0.000473	0.000289	0.997125	
