# SignalP-5.0	Organism: Gram-negative	Timestamp: 20230503165355
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
megahit_163661_73-2289	OTHER	0.011729	0.001512	0.002725	0.984034	
megahit_163666_960-1901	OTHER	0.004441	0.003287	0.000318	0.991954	
megahit_163704_2-460	OTHER	0.000752	0.000247	0.001669	0.997332	
megahit_163726_1-846	OTHER	0.008178	0.003649	0.001570	0.986603	
megahit_163727_17-520	OTHER	0.009354	0.333116	0.000457	0.657073	
megahit_163728_2-199	OTHER	0.003950	0.001827	0.000573	0.993649	
megahit_163728_192-353	OTHER	0.005551	0.002390	0.001789	0.990269	
megahit_163730_3-314	OTHER	0.320474	0.009238	0.095014	0.575273	
megahit_163749_30-266	OTHER	0.080737	0.063932	0.012899	0.842432	
megahit_163756_3-248	OTHER	0.020344	0.010328	0.002841	0.966487	
megahit_163757_3-248	OTHER	0.024196	0.008712	0.002573	0.964519	
megahit_163758_3-248	OTHER	0.019790	0.011276	0.002813	0.966120	
megahit_163760_18-725	OTHER	0.002090	0.000540	0.000249	0.997121	
megahit_163760_880-2526	OTHER	0.111535	0.003440	0.047742	0.837283	
megahit_163762_22-729	OTHER	0.002090	0.000540	0.000249	0.997121	
megahit_163763_39-746	OTHER	0.002090	0.000540	0.000249	0.997121	
megahit_163763_901-2547	OTHER	0.111535	0.003440	0.047742	0.837283	
megahit_163766_1-663	OTHER	0.003655	0.006228	0.000556	0.989561	
megahit_163769_3210-4253	OTHER	0.010609	0.019077	0.002861	0.967453	
megahit_163799_384-1229	OTHER	0.012286	0.002372	0.004479	0.980862	
megahit_163800_649-1494	OTHER	0.012286	0.002372	0.004479	0.980862	
megahit_163804_1-216	OTHER	0.016389	0.012010	0.001856	0.969744	
megahit_163808_765-998	OTHER	0.044859	0.223208	0.000875	0.731058	
megahit_163809_1054-1287	OTHER	0.044859	0.223208	0.000875	0.731058	
megahit_163812_1-255	OTHER	0.039949	0.076472	0.012380	0.871200	
megahit_163822_384-602	OTHER	0.182466	0.011077	0.006515	0.799943	
megahit_163834_74-949	OTHER	0.359586	0.032362	0.034680	0.573372	
megahit_163835_74-1009	OTHER	0.359586	0.032362	0.034680	0.573372	
megahit_163840_1-498	OTHER	0.359586	0.032362	0.034680	0.573372	
megahit_163841_2-991	OTHER	0.359586	0.032362	0.034680	0.573372	
megahit_163856_1-351	OTHER	0.018001	0.000694	0.001538	0.979767	
megahit_163857_5105-5524	OTHER	0.012281	0.002408	0.001977	0.983334	
megahit_163887_2-97	OTHER	0.140627	0.001350	0.116925	0.741098	
megahit_163887_99-662	LIPO(Sec/SPII)	0.001287	0.000209	0.995686	0.002818	CS pos: 23-24. LFS-CV. Pr: 0.9969
megahit_163889_2-970	SP(Sec/SPI)	0.857582	0.000149	0.141242	0.001028	CS pos: 20-21. TNG-QE. Pr: 0.5172
megahit_163890_31-1230	SP(Sec/SPI)	0.857582	0.000149	0.141242	0.001028	CS pos: 20-21. TNG-QE. Pr: 0.5172
megahit_163904_27806-28804	OTHER	0.002488	0.001376	0.001684	0.994453	
megahit_163913_18468-19169	OTHER	0.017481	0.060254	0.004321	0.917944	
megahit_163935_82-2271	OTHER	0.004517	0.001284	0.000483	0.993717	
megahit_163936_82-2271	OTHER	0.004517	0.001284	0.000483	0.993717	
megahit_163938_82-2271	OTHER	0.004517	0.001284	0.000483	0.993717	
megahit_163940_82-2271	OTHER	0.004517	0.001284	0.000483	0.993717	
megahit_164109_2-982	OTHER	0.007891	0.004880	0.001560	0.985669	
megahit_164115_916-1851	OTHER	0.040260	0.001166	0.065373	0.893201	
megahit_164121_916-2331	OTHER	0.040260	0.001166	0.065373	0.893201	
megahit_164127_102-557	SP(Sec/SPI)	0.997342	0.000744	0.001665	0.000249	CS pos: 24-25. AMA-DG. Pr: 0.7549
megahit_164154_266-922	OTHER	0.010935	0.009476	0.002007	0.977581	
megahit_164154_951-1586	OTHER	0.010130	0.003608	0.002376	0.983886	
megahit_164154_1869-2174	OTHER	0.002919	0.002506	0.000873	0.993701	
megahit_164155_81-716	OTHER	0.010130	0.003608	0.002376	0.983886	
megahit_164156_1-771	OTHER	0.012000	0.020770	0.003058	0.964171	
megahit_164156_806-1096	OTHER	0.002309	0.000800	0.001132	0.995758	
megahit_164156_1093-1749	OTHER	0.010935	0.009476	0.002007	0.977581	
megahit_164156_1778-2413	OTHER	0.010130	0.003608	0.002376	0.983886	
megahit_164197_3-392	OTHER	0.010483	0.011699	0.003233	0.974586	
megahit_164250_70-420	OTHER	0.002521	0.000458	0.000262	0.996759	
megahit_164251_70-420	OTHER	0.002684	0.000509	0.000251	0.996555	
megahit_164269_1-429	OTHER	0.069921	0.005227	0.007429	0.917423	
megahit_164274_224-493	SP(Sec/SPI)	0.996711	0.000167	0.002616	0.000506	CS pos: 20-21. VLA-QS. Pr: 0.8838
megahit_164277_3-479	OTHER	0.118272	0.001618	0.012003	0.868106	
megahit_164292_2-196	OTHER	0.077520	0.033837	0.019110	0.869533	
megahit_164293_2-196	OTHER	0.094722	0.039961	0.024779	0.840539	
megahit_164298_3-275	OTHER	0.236477	0.007504	0.034638	0.721381	
megahit_164301_1040-1144	OTHER	0.035973	0.002114	0.014744	0.947168	
megahit_164307_265-1029	OTHER	0.342776	0.009785	0.097075	0.550364	
megahit_164309_1132-1662	OTHER	0.008258	0.001819	0.001517	0.988405	
megahit_164317_114-3566	OTHER	0.058371	0.008848	0.008308	0.924473	
megahit_164318_114-3566	OTHER	0.058371	0.008848	0.008308	0.924473	
megahit_164363_10163-10846	OTHER	0.003438	0.002673	0.000453	0.993436	
megahit_164363_10922-11161	OTHER	0.001213	0.000319	0.000787	0.997681	
megahit_164363_11158-11604	OTHER	0.000685	0.000164	0.001208	0.997943	
megahit_164364_55-564	OTHER	0.003438	0.002673	0.000453	0.993436	
megahit_164366_10163-10846	OTHER	0.003438	0.002673	0.000453	0.993436	
megahit_164366_10922-11161	OTHER	0.001213	0.000319	0.000787	0.997681	
megahit_164366_18756-19037	OTHER	0.004824	0.002515	0.000924	0.991736	
megahit_164367_55-564	OTHER	0.003438	0.002673	0.000453	0.993436	
megahit_164389_2-988	OTHER	0.007611	0.008592	0.001174	0.982622	
megahit_164389_1147-2067	OTHER	0.005171	0.000606	0.000908	0.993315	
megahit_164404_347-2755	SP(Sec/SPI)	0.940835	0.000463	0.058007	0.000695	CS pos: 22-23. VIA-AD. Pr: 0.8749
megahit_164405_1-858	SP(Sec/SPI)	0.940835	0.000463	0.058007	0.000695	CS pos: 22-23. VIA-AD. Pr: 0.8749
megahit_164415_3-260	OTHER	0.013333	0.000317	0.001793	0.984556	
megahit_164415_287-514	OTHER	0.000695	0.000077	0.000880	0.998348	
megahit_164416_3-260	OTHER	0.013333	0.000317	0.001793	0.984556	
megahit_164416_287-604	OTHER	0.004214	0.000090	0.003197	0.992499	
megahit_164442_1016-3868	OTHER	0.017229	0.015469	0.001935	0.965367	
megahit_164442_3964-4374	OTHER	0.014315	0.045751	0.005889	0.934045	
megahit_164443_417-746	OTHER	0.001120	0.002260	0.000196	0.996425	
megahit_164443_803-1828	OTHER	0.008671	0.000486	0.001276	0.989566	
megahit_164479_605-1051	OTHER	0.012131	0.081374	0.001338	0.905157	
megahit_164510_1-264	OTHER	0.048555	0.032587	0.013702	0.905155	
megahit_164530_23-436	OTHER	0.001748	0.000700	0.000200	0.997353	
megahit_164545_1-1995	OTHER	0.011765	0.002476	0.001819	0.983939	
megahit_164549_1-1995	OTHER	0.011765	0.002476	0.001819	0.983939	
megahit_164550_1-1995	OTHER	0.011765	0.002476	0.001819	0.983939	
megahit_164558_1-348	OTHER	0.008889	0.003012	0.001880	0.986220	
megahit_164573_59-280	OTHER	0.014994	0.004815	0.003358	0.976833	
megahit_164582_2-793	SP(Sec/SPI)	0.990954	0.000205	0.008098	0.000743	CS pos: 18-19. VLA-SQ. Pr: 0.9389
megahit_164590_2-436	OTHER	0.013885	0.033230	0.001325	0.951560	
megahit_164599_3-1184	OTHER	0.046269	0.005178	0.033309	0.915244	
megahit_164608_69-1928	OTHER	0.001732	0.000644	0.000165	0.997458	
megahit_164609_198-926	OTHER	0.015604	0.000773	0.001863	0.981760	
megahit_164609_1752-3473	OTHER	0.001732	0.000644	0.000165	0.997458	
megahit_164610_388-2109	OTHER	0.001732	0.000644	0.000165	0.997458	
megahit_164628_3-1079	OTHER	0.085516	0.021969	0.035726	0.856789	
megahit_164637_3-902	OTHER	0.016929	0.017066	0.002070	0.963934	
megahit_164646_1-813	OTHER	0.002818	0.000221	0.000319	0.996642	
megahit_164670_1-306	OTHER	0.010118	0.007099	0.000976	0.981808	
megahit_164690_31-1263	SP(Sec/SPI)	0.773723	0.000227	0.225117	0.000933	CS pos: 20-21. SLC-AQ. Pr: 0.3602
megahit_164698_3-311	OTHER	0.005995	0.002379	0.000591	0.991035	
megahit_164699_2-343	OTHER	0.005592	0.001394	0.001060	0.991953	
megahit_164702_1-609	OTHER	0.014040	0.001563	0.008102	0.976296	
megahit_164714_652-2199	SP(Sec/SPI)	0.672576	0.000755	0.262436	0.064234	CS pos: 20-21. LQA-QK. Pr: 0.7540
megahit_164736_3-332	OTHER	0.003599	0.003276	0.000626	0.992499	
megahit_164792_140-1120	OTHER	0.026350	0.000551	0.003423	0.969676	
megahit_164816_1-348	SP(Sec/SPI)	0.542563	0.009197	0.345424	0.102816	CS pos: 32-33. TQA-AY. Pr: 0.4036
megahit_164816_452-1396	SP(Sec/SPI)	0.994515	0.000203	0.004228	0.001054	CS pos: 18-19. ALA-ER. Pr: 0.9837
megahit_164866_3-680	OTHER	0.009126	0.028668	0.000658	0.961548	
megahit_164867_38-664	SP(Sec/SPI)	0.654234	0.182844	0.006544	0.156378	CS pos: 42-43. ANA-QN. Pr: 0.7733
megahit_164931_127-522	OTHER	0.007313	0.001816	0.000289	0.990581	
megahit_164959_3-488	OTHER	0.480167	0.004441	0.021577	0.493815	
megahit_165089_2-865	OTHER	0.005000	0.000916	0.001188	0.992896	
megahit_165167_1-399	OTHER	0.002604	0.000265	0.000778	0.996353	
megahit_165168_584-1588	OTHER	0.016722	0.001227	0.002257	0.979794	
megahit_165169_74-1201	SP(Sec/SPI)	0.980046	0.014545	0.002503	0.002907	CS pos: 31-32. VQA-AT. Pr: 0.9753
megahit_165184_172-1899	OTHER	0.005005	0.008202	0.000303	0.986489	
megahit_165190_372-2597	OTHER	0.005629	0.001247	0.000707	0.992417	
megahit_165193_372-2597	OTHER	0.005629	0.001247	0.000707	0.992417	
megahit_165221_2-574	OTHER	0.003016	0.003028	0.000693	0.993262	
megahit_165221_734-1042	OTHER	0.002766	0.003005	0.000449	0.993779	
megahit_165281_1-678	OTHER	0.033783	0.000476	0.001041	0.964700	
megahit_165376_276-2639	LIPO(Sec/SPII)	0.060617	0.000798	0.891276	0.047309	CS pos: 29-30. SVS-CS. Pr: 0.8458
megahit_165376_2691-4160	SP(Sec/SPI)	0.739268	0.000218	0.260064	0.000450	CS pos: 17-18. VQA-DE. Pr: 0.7358
megahit_165376_4179-4565	OTHER	0.005563	0.000601	0.001650	0.992186	
megahit_165403_2-436	OTHER	0.007805	0.006645	0.001428	0.984122	
megahit_165417_206-640	OTHER	0.093559	0.012218	0.007115	0.887109	
megahit_165418_1-1776	OTHER	0.017613	0.004954	0.005998	0.971435	
megahit_165524_2-427	OTHER	0.003874	0.003745	0.000800	0.991581	
megahit_165544_593-1159	OTHER	0.003725	0.000474	0.000874	0.994927	
megahit_165609_3-275	OTHER	0.024006	0.001027	0.035071	0.939897	
megahit_165670_154-2499	SP(Sec/SPI)	0.934069	0.002183	0.062283	0.001465	CS pos: 28-29. AYG-QA. Pr: 0.2524
megahit_165671_158-2485	SP(Sec/SPI)	0.930642	0.005507	0.052694	0.011157	CS pos: 28-29. AYG-QA. Pr: 0.3448
megahit_165735_38-484	OTHER	0.000548	0.000154	0.001682	0.997616	
megahit_165735_481-555	OTHER	0.074049	0.069808	0.037220	0.818924	
megahit_165747_127-579	OTHER	0.073061	0.021577	0.010576	0.894786	
megahit_165748_127-588	OTHER	0.073061	0.021577	0.010576	0.894786	
megahit_165817_4127-5095	OTHER	0.015509	0.082031	0.016670	0.885791	
megahit_165819_6825-7664	SP(Sec/SPI)	0.998674	0.000375	0.000749	0.000202	CS pos: 22-23. AFA-HD. Pr: 0.9704
megahit_165841_3-1016	LIPO(Sec/SPII)	0.001877	0.000070	0.997835	0.000217	CS pos: 19-20. VAA-CG. Pr: 0.9984
megahit_166012_160-876	SP(Sec/SPI)	0.982937	0.004335	0.011308	0.001420	CS pos: 23-24. SQA-AV. Pr: 0.5837
megahit_166123_315-536	OTHER	0.046995	0.001147	0.005762	0.946097	
megahit_166125_315-536	OTHER	0.046995	0.001147	0.005762	0.946097	
megahit_166125_4810-5667	OTHER	0.008803	0.001737	0.001507	0.987952	
megahit_166159_277-726	OTHER	0.003880	0.000882	0.000550	0.994689	
megahit_166160_1523-1972	OTHER	0.003880	0.000882	0.000550	0.994689	
megahit_166163_415-1215	OTHER	0.004687	0.002855	0.000529	0.991929	
megahit_166172_1981-2868	OTHER	0.006548	0.002025	0.001566	0.989861	
megahit_166172_3144-3728	OTHER	0.105026	0.002651	0.017140	0.875182	
megahit_166173_342-569	LIPO(Sec/SPII)	0.000795	0.000114	0.998576	0.000515	CS pos: 24-25. LAG-CG. Pr: 0.9991
megahit_166174_3-1220	SP(Sec/SPI)	0.983592	0.001762	0.013354	0.001292	CS pos: 28-29. THA-QG. Pr: 0.9067
megahit_166174_1345-2232	OTHER	0.006548	0.002025	0.001566	0.989861	
megahit_166174_2508-3092	OTHER	0.110558	0.003352	0.014710	0.871380	
megahit_166175_2707-3594	OTHER	0.006548	0.002025	0.001566	0.989861	
megahit_166175_3870-4202	OTHER	0.007219	0.001494	0.001563	0.989723	
megahit_166176_2707-3594	OTHER	0.006548	0.002025	0.001566	0.989861	
megahit_166176_3870-4454	OTHER	0.105026	0.002651	0.017140	0.875182	
megahit_166181_3-359	OTHER	0.004609	0.005216	0.000527	0.989648	
megahit_166183_22-507	OTHER	0.071347	0.028850	0.012159	0.887644	
megahit_166183_633-1700	OTHER	0.012272	0.003979	0.000915	0.982833	
megahit_166184_1-564	OTHER	0.001678	0.000168	0.000275	0.997880	
megahit_166184_596-2050	OTHER	0.071347	0.028850	0.012159	0.887644	
megahit_166184_2176-3243	OTHER	0.012272	0.003979	0.000915	0.982833	
megahit_166185_66-1070	OTHER	0.071347	0.028850	0.012159	0.887644	
