# SignalP-5.0	Organism: Gram-negative	Timestamp: 20230503164320
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
megahit_78946_1465-2082	OTHER	0.081956	0.013656	0.037762	0.866626	
megahit_78946_2321-3016	OTHER	0.009344	0.001150	0.001590	0.987916	
megahit_78947_1-507	OTHER	0.026584	0.004305	0.008152	0.960959	
megahit_78947_528-1088	OTHER	0.019123	0.002088	0.002561	0.976227	
megahit_78948_2-442	OTHER	0.011173	0.004069	0.004191	0.980568	
megahit_78948_432-1088	OTHER	0.047651	0.019420	0.008403	0.924526	
megahit_78949_1-513	LIPO(Sec/SPII)	0.018925	0.011835	0.921417	0.047824	CS pos: 20-21. GAA-CE. Pr: 0.9300
megahit_78949_593-1030	OTHER	0.011305	0.001368	0.001810	0.985518	
megahit_78949_1120-1452	OTHER	0.008038	0.004622	0.000908	0.986431	
megahit_78949_1697-2185	OTHER	0.003612	0.017734	0.000463	0.978191	
megahit_78949_2178-2510	OTHER	0.041396	0.003787	0.003441	0.951376	
megahit_78950_1-513	LIPO(Sec/SPII)	0.018925	0.011835	0.921417	0.047824	CS pos: 20-21. GAA-CE. Pr: 0.9300
megahit_78950_593-886	OTHER	0.011305	0.001368	0.001810	0.985518	
megahit_78957_184-552	OTHER	0.005343	0.000296	0.002748	0.991613	
megahit_78957_566-1099	OTHER	0.004311	0.000400	0.000716	0.994574	
megahit_78960_2-127	OTHER	0.035923	0.014640	0.006557	0.942880	
megahit_78960_174-326	OTHER	0.034293	0.010144	0.017950	0.937613	
megahit_78960_329-697	OTHER	0.005343	0.000296	0.002748	0.991613	
megahit_78960_711-1244	OTHER	0.004311	0.000400	0.000716	0.994574	
megahit_78985_3-560	OTHER	0.154354	0.041702	0.012149	0.791795	
megahit_79023_11-625	OTHER	0.004967	0.003214	0.000468	0.991352	
megahit_79024_11-604	OTHER	0.004967	0.003214	0.000468	0.991352	
megahit_79025_2-448	OTHER	0.002372	0.000324	0.000359	0.996945	
megahit_79038_3-305	SP(Sec/SPI)	0.482144	0.150014	0.006476	0.361366	CS pos: 57-58. AAA-LE. Pr: 0.5607
megahit_79038_309-629	OTHER	0.015348	0.007472	0.001626	0.975553	
megahit_79106_24-758	SP(Sec/SPI)	0.990396	0.000230	0.008367	0.001006	CS pos: 20-21. ANA-GV. Pr: 0.9511
megahit_79126_1-270	OTHER	0.004583	0.001398	0.000628	0.993390	
megahit_79127_29-256	OTHER	0.001748	0.002981	0.000287	0.994983	
megahit_79188_787-2280	OTHER	0.007055	0.002305	0.001664	0.988976	
megahit_79204_794-1039	OTHER	0.018021	0.017156	0.004546	0.960278	
megahit_79205_161-1216	OTHER	0.006386	0.000760	0.000660	0.992195	
megahit_79205_1368-2051	OTHER	0.175157	0.004507	0.015059	0.805278	
megahit_79206_3-506	OTHER	0.175157	0.004507	0.015059	0.805278	
megahit_79209_106-627	OTHER	0.005654	0.000515	0.002813	0.991018	
megahit_79211_2-229	OTHER	0.002279	0.001104	0.000281	0.996336	
megahit_79211_297-818	OTHER	0.005654	0.000515	0.002813	0.991018	
megahit_79269_2-550	TAT(Tat/SPI)	0.179250	0.817838	0.001758	0.001153	CS pos: 26-27. AIA-QD. Pr: 0.8956
megahit_79270_2-550	TAT(Tat/SPI)	0.179250	0.817838	0.001758	0.001153	CS pos: 26-27. AIA-QD. Pr: 0.8956
megahit_79271_2-346	TAT(Tat/SPI)	0.179250	0.817838	0.001758	0.001153	CS pos: 26-27. AIA-QD. Pr: 0.8956
megahit_79286_2-349	LIPO(Sec/SPII)	0.011506	0.000906	0.987121	0.000467	CS pos: 21-22. LAS-CA. Pr: 0.9875
megahit_79306_1-690	OTHER	0.003162	0.000706	0.002377	0.993755	
megahit_79315_492-1424	OTHER	0.003116	0.000766	0.000299	0.995819	
megahit_79328_204-866	OTHER	0.039021	0.003775	0.006514	0.950689	
megahit_79330_204-866	OTHER	0.039021	0.003775	0.006514	0.950689	
megahit_79383_2-1450	LIPO(Sec/SPII)	0.002142	0.000113	0.997347	0.000398	CS pos: 21-22. LAS-CG. Pr: 0.9979
megahit_79401_3-452	OTHER	0.021685	0.001893	0.002945	0.973477	
megahit_79411_3-416	OTHER	0.014528	0.000660	0.000701	0.984111	
megahit_79412_2-211	OTHER	0.015793	0.000781	0.000791	0.982636	
megahit_79416_3-710	OTHER	0.018819	0.044222	0.001564	0.935395	
megahit_79426_201-626	OTHER	0.006961	0.000466	0.000759	0.991814	
megahit_79441_23-547	OTHER	0.008334	0.003196	0.000942	0.987528	
megahit_79468_1-324	OTHER	0.022250	0.024228	0.116092	0.837430	
megahit_79540_3-959	OTHER	0.005618	0.001685	0.000479	0.992218	
megahit_79540_1029-2150	OTHER	0.001585	0.000387	0.000225	0.997803	
megahit_79542_2-241	OTHER	0.006034	0.002675	0.002079	0.989212	
megahit_79546_85-543	OTHER	0.019159	0.004624	0.002425	0.973793	
megahit_79557_3-950	TAT(Tat/SPI)	0.320738	0.669175	0.007104	0.002984	CS pos: 29-30. AQA-GP. Pr: 0.8247
megahit_79596_1-810	OTHER	0.029404	0.009616	0.003496	0.957484	
megahit_79659_2-1072	OTHER	0.000737	0.000251	0.000071	0.998940	
megahit_79659_1062-1865	OTHER	0.003064	0.000382	0.000541	0.996012	
megahit_79659_4417-5691	OTHER	0.005780	0.003440	0.001671	0.989109	
megahit_79659_5750-6682	OTHER	0.001629	0.000274	0.000331	0.997766	
megahit_79661_2-1072	OTHER	0.000737	0.000251	0.000071	0.998940	
megahit_79661_4216-4359	OTHER	0.024221	0.004463	0.007342	0.963974	
megahit_79661_4363-5637	OTHER	0.005780	0.003440	0.001671	0.989109	
megahit_79661_5696-6628	OTHER	0.001629	0.000274	0.000331	0.997766	
megahit_79663_3-1268	OTHER	0.005780	0.003440	0.001671	0.989109	
megahit_79670_3-554	OTHER	0.030309	0.011631	0.015980	0.942079	
megahit_79687_27-524	OTHER	0.007399	0.000479	0.000370	0.991752	
megahit_79692_177-476	OTHER	0.023016	0.020723	0.005897	0.950364	
megahit_79725_63-515	OTHER	0.037430	0.004943	0.006363	0.951264	
megahit_79725_1290-1649	OTHER	0.006230	0.000797	0.001025	0.991948	
megahit_79726_63-515	OTHER	0.037430	0.004943	0.006363	0.951264	
megahit_79726_508-1041	OTHER	0.234345	0.002310	0.052653	0.710691	
megahit_79726_1038-1649	OTHER	0.003387	0.002535	0.000924	0.993154	
megahit_79726_1792-2571	OTHER	0.017681	0.000406	0.002466	0.979446	
megahit_79728_63-515	OTHER	0.037430	0.004943	0.006363	0.951264	
megahit_79728_508-1041	OTHER	0.234345	0.002310	0.052653	0.710691	
megahit_79728_1038-1649	OTHER	0.003387	0.002535	0.000924	0.993154	
megahit_79730_63-515	OTHER	0.037430	0.004943	0.006363	0.951264	
megahit_79730_1189-2403	OTHER	0.009680	0.001802	0.000458	0.988060	
megahit_79775_835-3405	SP(Sec/SPI)	0.794886	0.200458	0.001956	0.002700	CS pos: 32-33. VYA-QE. Pr: 0.9316
megahit_79776_835-3450	TAT(Tat/SPI)	0.310293	0.654194	0.001433	0.034081	CS pos: 47-48. VYA-QE. Pr: 0.8381
megahit_79777_2-1000	SP(Sec/SPI)	0.794886	0.200458	0.001956	0.002700	CS pos: 32-33. VYA-QE. Pr: 0.9316
megahit_79778_585-1730	OTHER	0.012795	0.011164	0.002148	0.973894	
megahit_79781_316-1095	OTHER	0.006578	0.002152	0.000404	0.990865	
megahit_79783_26-196	OTHER	0.002467	0.010970	0.000563	0.986000	
megahit_79783_249-356	OTHER	0.062202	0.052432	0.027971	0.857395	
megahit_79785_26-196	OTHER	0.002467	0.010970	0.000563	0.986000	
megahit_79785_249-356	OTHER	0.062202	0.052432	0.027971	0.857395	
megahit_79806_1-228	OTHER	0.003994	0.047561	0.000565	0.947879	
megahit_79806_316-603	OTHER	0.017066	0.003751	0.003427	0.975756	
megahit_79806_698-1174	OTHER	0.005832	0.006494	0.000836	0.986838	
megahit_79808_48-926	SP(Sec/SPI)	0.565731	0.006595	0.061950	0.365725	CS pos: 31-32. AVS-QF. Pr: 0.3854
megahit_79808_1063-1824	OTHER	0.032390	0.005296	0.022729	0.939585	
megahit_79809_1-228	OTHER	0.003994	0.047561	0.000565	0.947879	
megahit_79809_2785-3546	OTHER	0.032390	0.005296	0.022729	0.939585	
megahit_79822_1-663	OTHER	0.006490	0.016525	0.000719	0.976265	
megahit_79853_179-1072	OTHER	0.007282	0.019790	0.001875	0.971053	
megahit_79853_1104-1322	OTHER	0.002192	0.001057	0.003552	0.993199	
megahit_79853_1780-2772	OTHER	0.007493	0.000625	0.001066	0.990816	
megahit_79853_2819-3130	SP(Sec/SPI)	0.990287	0.000221	0.005861	0.003632	CS pos: 23-24. SLA-QT. Pr: 0.9196
megahit_79853_3200-3856	SP(Sec/SPI)	0.992037	0.000965	0.004743	0.002255	CS pos: 29-30. TYA-AD. Pr: 0.9516
megahit_79853_3881-4597	OTHER	0.003819	0.006788	0.000644	0.988749	
megahit_79854_179-1072	OTHER	0.007282	0.019790	0.001875	0.971053	
megahit_79854_1104-1322	OTHER	0.002192	0.001057	0.003552	0.993199	
megahit_79854_1780-2772	OTHER	0.007493	0.000625	0.001066	0.990816	
megahit_79854_2819-3130	SP(Sec/SPI)	0.990287	0.000221	0.005861	0.003632	CS pos: 23-24. SLA-QT. Pr: 0.9196
megahit_79854_3200-3856	SP(Sec/SPI)	0.992037	0.000965	0.004743	0.002255	CS pos: 29-30. TYA-AD. Pr: 0.9516
megahit_79854_3881-4564	OTHER	0.003819	0.006788	0.000644	0.988749	
megahit_79854_4601-4690	OTHER	0.094890	0.041453	0.050500	0.813157	
megahit_79855_179-1072	OTHER	0.007282	0.019790	0.001875	0.971053	
megahit_79855_1104-1322	OTHER	0.002192	0.001057	0.003552	0.993199	
megahit_79855_1780-2772	OTHER	0.007493	0.000625	0.001066	0.990816	
megahit_79855_2819-3130	SP(Sec/SPI)	0.990287	0.000221	0.005861	0.003632	CS pos: 23-24. SLA-QT. Pr: 0.9196
megahit_79855_3200-3856	SP(Sec/SPI)	0.992037	0.000965	0.004743	0.002255	CS pos: 29-30. TYA-AD. Pr: 0.9516
megahit_79855_3881-4564	OTHER	0.003819	0.006788	0.000644	0.988749	
megahit_79855_4601-5212	OTHER	0.007355	0.006305	0.000915	0.985425	
megahit_79856_179-1072	OTHER	0.007282	0.019790	0.001875	0.971053	
megahit_79856_1104-1322	OTHER	0.002192	0.001057	0.003552	0.993199	
megahit_79856_1780-2772	OTHER	0.007493	0.000625	0.001066	0.990816	
megahit_79856_2819-3130	SP(Sec/SPI)	0.990287	0.000221	0.005861	0.003632	CS pos: 23-24. SLA-QT. Pr: 0.9196
megahit_79856_3200-3856	SP(Sec/SPI)	0.992037	0.000965	0.004743	0.002255	CS pos: 29-30. TYA-AD. Pr: 0.9516
megahit_79856_3881-4564	OTHER	0.003819	0.006788	0.000644	0.988749	
megahit_79856_4601-5212	OTHER	0.007355	0.006305	0.000915	0.985425	
megahit_79964_3-407	OTHER	0.007600	0.000330	0.006906	0.985164	
megahit_79964_1140-1754	OTHER	0.001580	0.000438	0.001653	0.996328	
megahit_79964_1751-3541	OTHER	0.001514	0.000092	0.000257	0.998138	
megahit_79964_3630-4985	OTHER	0.001380	0.000130	0.004124	0.994366	
megahit_79967_3-407	OTHER	0.007600	0.000330	0.006906	0.985164	
megahit_79967_420-1085	OTHER	0.002034	0.000144	0.000382	0.997440	
megahit_79967_1140-1754	OTHER	0.001580	0.000438	0.001653	0.996328	
megahit_79967_1751-3541	OTHER	0.001514	0.000092	0.000257	0.998138	
megahit_80027_543-3023	LIPO(Sec/SPII)	0.000966	0.000069	0.998593	0.000372	CS pos: 16-17. LEA-CN. Pr: 0.9995
megahit_80027_5347-5616	OTHER	0.006188	0.001152	0.002067	0.990594	
megahit_80028_2-331	OTHER	0.069858	0.003406	0.018002	0.908734	
megahit_80034_2-301	OTHER	0.010233	0.007238	0.001659	0.980870	
megahit_80067_1787-3859	OTHER	0.002038	0.000507	0.000600	0.996855	
megahit_80075_1-546	OTHER	0.002371	0.000853	0.000596	0.996180	
megahit_80075_670-1176	OTHER	0.010720	0.001258	0.000974	0.987048	
megahit_80078_3-539	OTHER	0.005056	0.000863	0.002069	0.992012	
megahit_80155_2604-2966	OTHER	0.011802	0.008178	0.002936	0.977084	
megahit_80156_2596-2958	OTHER	0.011802	0.008178	0.002936	0.977084	
megahit_80156_2980-4062	OTHER	0.041871	0.001417	0.011013	0.945699	
megahit_80158_2981-4063	OTHER	0.041871	0.001417	0.011013	0.945699	
megahit_80159_2988-4070	OTHER	0.041871	0.001417	0.011013	0.945699	
megahit_80162_2987-4069	OTHER	0.041871	0.001417	0.011013	0.945699	
megahit_80215_2-415	LIPO(Sec/SPII)	0.001559	0.000054	0.998146	0.000240	CS pos: 16-17. MTS-CN. Pr: 0.9989
megahit_80249_59-1534	OTHER	0.005218	0.004612	0.000967	0.989203	
megahit_80250_59-1945	OTHER	0.005218	0.004612	0.000967	0.989203	
megahit_80250_1997-2404	OTHER	0.001746	0.000289	0.001222	0.996743	
megahit_80250_2397-3299	OTHER	0.074044	0.037477	0.009628	0.878852	
megahit_80277_2-310	OTHER	0.038747	0.007238	0.021211	0.932804	
megahit_80292_174-1229	OTHER	0.001433	0.001092	0.000191	0.997285	
megahit_80459_409-2172	OTHER	0.005457	0.001492	0.001253	0.991798	
megahit_80499_15-461	OTHER	0.012870	0.002084	0.000749	0.984297	
megahit_80532_35-814	OTHER	0.098199	0.000982	0.038900	0.861919	
megahit_80542_2-1153	OTHER	0.007980	0.000299	0.000515	0.991206	
megahit_80543_3-497	OTHER	0.048993	0.005254	0.004902	0.940851	
megahit_80543_494-1741	OTHER	0.006656	0.002460	0.001606	0.989278	
megahit_80544_494-1741	OTHER	0.006188	0.002703	0.001671	0.989439	
megahit_80545_494-1741	OTHER	0.005853	0.002361	0.001531	0.990254	
megahit_80546_494-1741	OTHER	0.006188	0.002703	0.001671	0.989439	
megahit_80620_197-550	OTHER	0.004370	0.004424	0.000682	0.990524	
megahit_80628_406-729	OTHER	0.083448	0.003142	0.015714	0.897697	
megahit_80651_130-441	OTHER	0.004686	0.004236	0.003474	0.987603	
megahit_80669_94-1023	OTHER	0.004747	0.001000	0.001256	0.992996	
megahit_80669_1153-2271	OTHER	0.008767	0.000133	0.004915	0.986185	
megahit_80669_2275-3522	SP(Sec/SPI)	0.537410	0.002212	0.030710	0.429668	CS pos: 16-17. TAA-HL. Pr: 0.2107
megahit_80670_94-1023	OTHER	0.004747	0.001000	0.001256	0.992996	
megahit_80671_94-1023	OTHER	0.004747	0.001000	0.001256	0.992996	
megahit_80672_94-987	OTHER	0.004747	0.001000	0.001256	0.992996	
megahit_80682_2-385	OTHER	0.004105	0.005835	0.000972	0.989089	
megahit_80694_1-1290	OTHER	0.010388	0.001048	0.001654	0.986910	
megahit_80696_1-1482	OTHER	0.017966	0.003547	0.003830	0.974658	
megahit_80704_462-1271	OTHER	0.003341	0.001199	0.000886	0.994574	
megahit_80704_1275-2297	OTHER	0.004231	0.012943	0.000415	0.982410	
megahit_80738_358-1533	OTHER	0.017997	0.001275	0.072411	0.908318	
megahit_80787_2-1162	OTHER	0.114053	0.002298	0.003487	0.880162	
megahit_80788_2-1249	OTHER	0.100262	0.037961	0.014451	0.847326	
megahit_80878_171-722	OTHER	0.009561	0.001897	0.003415	0.985128	
megahit_80878_743-937	OTHER	0.000881	0.000064	0.000402	0.998653	
megahit_80880_54-539	SP(Sec/SPI)	0.988156	0.000229	0.010189	0.001425	CS pos: 24-25. IYA-QD. Pr: 0.9701
megahit_80891_134-955	OTHER	0.002463	0.002500	0.000681	0.994356	
megahit_80915_38-916	SP(Sec/SPI)	0.638746	0.006843	0.065727	0.288684	CS pos: 27-28. AIA-LW. Pr: 0.4044
megahit_80922_162-440	OTHER	0.015121	0.005274	0.003717	0.975887	
megahit_80934_2-1021	SP(Sec/SPI)	0.950671	0.000991	0.016548	0.031789	CS pos: 22-23. VHG-ET. Pr: 0.8935
megahit_80934_1021-1755	SP(Sec/SPI)	0.554436	0.374733	0.005056	0.065775	CS pos: 45-46. AHA-AE. Pr: 0.8214
megahit_80944_145-1101	OTHER	0.051690	0.027370	0.013864	0.907075	
megahit_80945_2-817	OTHER	0.001368	0.001396	0.000202	0.997034	
megahit_80960_38-463	OTHER	0.009211	0.002121	0.001219	0.987449	
megahit_80972_59-283	OTHER	0.005804	0.001904	0.001503	0.990790	
megahit_81003_3-1040	OTHER	0.010967	0.002299	0.000968	0.985766	
megahit_81003_1049-1963	OTHER	0.286181	0.004891	0.239074	0.469854	
megahit_81011_2-1243	TAT(Tat/SPI)	0.047706	0.472015	0.014329	0.465950	CS pos: 37-38. NTA-LT. Pr: 0.0694
megahit_81022_161-529	OTHER	0.010343	0.028713	0.000721	0.960222	
megahit_81022_553-978	OTHER	0.065729	0.270530	0.013855	0.649886	
megahit_81037_600-1436	OTHER	0.004328	0.001117	0.001953	0.992602	
megahit_81085_102-1136	OTHER	0.006068	0.001032	0.002442	0.990458	
megahit_81086_102-677	OTHER	0.006068	0.001032	0.002442	0.990458	
megahit_81091_1-2694	SP(Sec/SPI)	0.835243	0.015079	0.067313	0.082365	CS pos: 29-30. AQG-ST. Pr: 0.5196
megahit_81147_25-624	SP(Sec/SPI)	0.997739	0.001446	0.000591	0.000224	CS pos: 24-25. AQA-DD. Pr: 0.9406
megahit_81202_2-400	OTHER	0.023489	0.000406	0.244715	0.731390	
megahit_81252_314-1381	OTHER	0.001197	0.000224	0.000185	0.998394	
megahit_81343_35-958	OTHER	0.012900	0.005105	0.001525	0.980470	
megahit_81344_3-380	TAT(Tat/SPI)	0.481502	0.514858	0.000902	0.002738	CS pos: 43-44. AQA-EL. Pr: 0.9524
megahit_81345_35-1033	SP(Sec/SPI)	0.996791	0.002085	0.000868	0.000256	CS pos: 26-27. AQA-EL. Pr: 0.9740
megahit_81390_1-360	OTHER	0.048506	0.002525	0.000943	0.948025	
megahit_81428_89-1276	SP(Sec/SPI)	0.998639	0.000210	0.000876	0.000275	CS pos: 24-25. AVA-DE. Pr: 0.9801
megahit_81435_30-1574	TAT(Tat/SPI)	0.002620	0.996480	0.000435	0.000465	CS pos: 28-29. ARA-EA. Pr: 0.5839
