Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
Sro1005_g230231.1,Extracellular,Signal peptide,0.22759999334812164,0.05889999866485596,0.9535999894142151,0.1542000025510788,0.0544000007212162,0.04520000144839287,0.13279999792575836,0.1331000030040741,0.14480000734329224,0.0003000000142492354
Sro1005_g230250.1,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.30959999561309814,0.23669999837875366,0.09430000185966492,0.2522999942302704,0.26190000772476196,0.028200000524520874,0.7038000226020813,0.25600001215934753,0.4088999927043915,0.09700000286102295
Sro100_g051290.1,Cytoplasm|Lysosome/Vacuole,,0.48420000076293945,0.2858000099658966,0.16369999945163727,0.5527999997138977,0.4027000069618225,0.04450000077486038,0.26759999990463257,0.6269999742507935,0.4797999858856201,0.007799999788403511
Sro1016_g231610.1,Extracellular,Signal peptide,0.21660000085830688,0.051500000059604645,0.6233000159263611,0.4666000008583069,0.03700000047683716,0.008899999782443047,0.25429999828338623,0.39969998598098755,0.3450999855995178,0.014100000262260437
Sro101_g051790.1,Extracellular,Signal peptide,0.20340000092983246,0.13289999961853027,0.6147000193595886,0.1995999962091446,0.055399999022483826,0.01080000028014183,0.32679998874664307,0.16619999706745148,0.17030000686645508,0.0026000000070780516
Sro101_g051800.1,Extracellular,,0.43459999561309814,0.16519999504089355,0.5874999761581421,0.32659998536109924,0.04800000041723251,0.049800001084804535,0.0421999990940094,0.04540000110864639,0.031199999153614044,0.004000000189989805
Sro101_g051810.1,Cell membrane,Signal peptide|Transmembrane domain,0.28189998865127563,0.11959999799728394,0.44119998812675476,0.7003999948501587,0.0406000018119812,0.026900000870227814,0.11500000208616257,0.296999990940094,0.2198999971151352,0.03590000048279762
Sro1020_g232170.1,Extracellular|Cell membrane,Signal peptide,0.24940000474452972,0.19120000302791595,0.6236000061035156,0.6535000205039978,0.048700001090765,0.014700000174343586,0.11349999904632568,0.3034999966621399,0.17839999496936798,0.009600000455975533
Sro1026_g232870.1,Cytoplasm,Nuclear localization signal,0.7347999811172485,0.42410001158714294,0.07240000367164612,0.14399999380111694,0.08169999718666077,0.008999999612569809,0.15080000460147858,0.1565999984741211,0.10379999876022339,0.008799999952316284
Sro102_g052020.1,Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.15950000286102295,0.06260000169277191,0.025800000876188278,0.4422999918460846,0.08209999650716782,0.005200000014156103,0.5857999920845032,0.6883000135421753,0.5497999787330627,0.006500000134110451
